,datetime,ipsrc,ipdst,dstport,proto,action,policyid,is_ip_bad
68,2024-03-11 12:06:42,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
69,2024-03-11 12:06:42,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
70,2024-03-11 12:06:42,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
71,2024-03-11 12:06:42,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
72,2024-03-11 12:07:32,192.168.182.2,192.168.182.130,41345,UDP,Permit,6,False
73,2024-03-11 12:07:32,159.84.181.103,192.168.182.130,45978,TCP,Deny,34,False
74,2024-03-11 12:07:37,159.84.181.103,192.168.182.130,45978,TCP,Deny,34,False
75,2024-03-11 12:08:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
76,2024-03-11 12:08:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
77,2024-03-11 12:08:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
78,2024-03-11 12:08:42,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
79,2024-03-11 12:08:42,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
80,2024-03-11 12:08:42,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
81,2024-03-11 12:09:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
82,2024-03-11 12:09:44,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
83,2024-03-11 12:10:42,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
84,2024-03-11 12:10:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
85,2024-03-11 12:10:45,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
86,2024-03-11 12:11:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
87,2024-03-11 12:11:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
88,2024-03-11 12:12:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
89,2024-03-11 12:12:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
90,2024-03-11 12:12:45,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
91,2024-03-11 12:13:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
92,2024-03-11 12:13:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
93,2024-03-11 12:13:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
94,2024-03-11 12:14:06,192.168.182.2,192.168.182.130,43198,UDP,Permit,6,False
95,2024-03-11 12:14:06,142.250.74.234,192.168.182.130,57110,TCP,Deny,34,False
96,2024-03-11 12:14:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
97,2024-03-11 12:14:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
98,2024-03-11 12:15:10,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
